n_neighbors,ratio,resolution,leiden_cluster,gene,score,log2fc,pval,pval_adj,pct_nz_group,pct_nz_reference
25,0.01,0.7893,10,533,30.574764,6.582712,2.6506077401413576e-205,4.410081158047191e-201,1.0,0.015720081135902637
25,0.01,0.7893,9,7023,26.952143,6.854031,5.3836822520728686e-160,8.957370530998839e-156,0.6666666666666666,0.008121827411167513
25,0.01,0.7893,7,6318,19.53946,5.8643193,5.0716296299452515e-85,8.43817737830291e-81,0.3225806451612903,0.006191950464396285
25,0.01,0.7893,8,5140,18.417528,4.4033303,9.504644252455669e-76,1.5813827107235741e-71,0.6666666666666666,0.048304213771839674
25,0.01,0.7893,7,11735,17.79915,5.36962,7.174892722580211e-71,5.968793255914477e-67,0.3225806451612903,0.009287925696594427
25,0.01,0.7893,9,257,17.132877,7.7226973,8.437584539825508e-66,7.01922657868084e-62,0.2,0.0010152284263959391
25,0.01,0.7893,7,8159,16.891953,6.0787253,5.156788920400419e-64,2.859955135254072e-60,0.22580645161290322,0.003611971104231166
25,0.01,0.7893,8,8139,16.373188,4.4561973,2.972298842551509e-60,2.4726554071186004e-56,0.42592592592592593,0.022096608427543678
25,0.01,0.7893,7,849,13.357402,6.4454155,1.0724214164286806e-40,4.460736881635097e-37,0.12903225806451613,0.0015479876160990713
25,0.01,0.7893,6,14938,12.58511,4.6665874,2.549889968604296e-36,4.2425069297638276e-32,0.14,0.005945945945945946
25,0.01,0.7893,6,14472,12.346471,4.5407863,5.08954429225593e-35,4.233991896727708e-31,0.14,0.006486486486486486
25,0.01,0.7893,6,11174,12.267314,5.9958954,1.3568042328624718e-34,7.524836275455268e-31,0.1,0.0016216216216216215
25,0.01,0.7893,10,1762,11.871295,25.597094,1.6686471526905965e-32,1.3881475663233073e-28,0.07142857142857142,0.0
25,0.01,0.7893,5,7347,11.471454,5.8032503,1.835492152108743e-30,3.053891842678526e-26,0.08875739644970414,0.0016384489350081922
25,0.01,0.7893,9,12176,11.462943,25.495157,2.025138928720203e-30,1.1231420498682245e-26,0.06666666666666667,0.0
25,0.01,0.7893,6,8945,10.529245,6.9796066,6.334035301734387e-26,2.6346419837564183e-22,0.06666666666666667,0.0005405405405405405
25,0.01,0.7893,5,14666,10.524093,3.7876918,6.690304607797726e-26,5.565664403226928e-22,0.1301775147928994,0.010376843255051884
25,0.01,0.7893,5,12809,10.432315,25.319323,1.7653459893264557e-25,9.790608856804523e-22,0.05917159763313609,0.0
25,0.01,0.7893,5,8875,10.124005,5.1755157,4.3235319205137665e-24,1.7983731023377012e-20,0.07692307692307693,0.002184598580010923
25,0.01,0.7893,7,12870,9.688556,25.023613,3.372646156424373e-22,1.1222817350117744e-18,0.04838709677419355,0.0
25,0.01,0.7893,9,5710,9.574868,4.438287,1.0198687591007845e-21,4.242144103479713e-18,0.23333333333333334,0.012690355329949238
25,0.01,0.7893,6,1093,9.513243,4.3663177,1.8481045438491415e-21,6.149752680112403e-18,0.08666666666666667,0.004324324324324324
25,0.01,0.7893,9,1466,9.290514,7.070293,1.53544643523805e-20,3.649536827070097e-17,0.06666666666666667,0.0005076142131979696
25,0.01,0.7893,9,9119,9.290514,7.070293,1.53544643523805e-20,3.649536827070097e-17,0.06666666666666667,0.0005076142131979696
25,0.01,0.7893,9,11039,9.290514,7.070293,1.53544643523805e-20,3.649536827070097e-17,0.06666666666666667,0.0005076142131979696
25,0.01,0.7893,6,9564,9.28934,6.7547398,1.552482433275826e-20,4.305033787473865e-17,0.05333333333333334,0.0005405405405405405
25,0.01,0.7893,3,828,9.154198,25.016352,5.476298260373142e-20,9.040591186933151e-16,0.04814814814814815,0.0
25,0.01,0.7893,4,3189,9.132291,24.96564,6.706479923088901e-20,1.1158241296035312e-15,0.046511627906976744,0.0
25,0.01,0.7893,3,14559,9.079901,6.5128064,1.0867401354649778e-19,9.040591186933151e-16,0.05185185185185185,0.0005780346820809249
25,0.01,0.7893,4,10897,8.81647,3.8559632,1.1812489614915514e-18,9.826810110648216e-15,0.07906976744186046,0.0056022408963585435
25,0.01,0.7893,3,12352,8.707203,5.0286674,3.11465572547202e-18,1.7273880653467822e-14,0.05555555555555555,0.0017341040462427746
25,0.01,0.7893,3,13861,8.579029,2.5904548,9.567765757249784e-18,3.9797121667280475e-14,0.12962962962962962,0.023121387283236993
25,0.01,0.7893,5,8043,8.524011,2.729653,1.5412158463412207e-17,5.1285498502850465e-14,0.15384615384615385,0.025669033315128344
25,0.01,0.7893,1,58,8.495402,3.2856846,1.9724899583330504e-17,3.281828792674529e-13,0.08235294117647059,0.009036144578313253
25,0.01,0.7893,8,3436,8.49177,24.632257,2.0351456032988553e-17,1.1286917515895451e-13,0.037037037037037035,0.0
25,0.01,0.7893,6,4352,8.475773,4.8234377,2.3352317950842024e-17,5.5505123723729945e-14,0.06,0.002162162162162162
25,0.01,0.7893,10,5751,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,3278,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,3651,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,4985,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,11163,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,5359,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,14151,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,9795,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,7198,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,12491,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,9609,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,10070,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,13891,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,6460,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,53,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,10580,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,3301,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,11816,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,9365,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,1588,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,5101,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,1228,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,4596,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,1401,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,5179,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,4779,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,12484,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,2072,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,14102,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,649,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,14404,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,15572,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,4830,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,10,11183,8.392173,24.579126,4.772370334002314e-17,2.205630489364736e-14,0.03571428571428571,0.0
25,0.01,0.7893,5,10080,8.338625,3.9171941,7.515950266757711e-17,2.0841730089719131e-13,0.07692307692307693,0.005461496450027308
25,0.01,0.7893,5,15239,8.311499,5.0483875,9.450058223418845e-17,2.2461438388748964e-13,0.05325443786982249,0.0016384489350081922
25,0.01,0.7893,9,10214,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,14929,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,731,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,3515,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,8427,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,8800,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,3930,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,9140,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,15914,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,1321,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,9149,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,1517,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,12094,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,1147,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,2543,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,13745,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,5802,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,14692,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,15096,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,4215,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,5187,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,2374,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,14749,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,13470,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,15469,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,13836,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,5080,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,13300,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,8449,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,8214,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,15875,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,9,6881,8.1034975,24.478395,5.340146225478711e-16,2.2781885358849946e-13,0.03333333333333333,0.0
25,0.01,0.7893,5,9906,8.072727,24.570457,6.874520967247301e-16,1.4297284981632573e-12,0.03550295857988166,0.0
25,0.01,0.7893,7,8947,7.9086924,24.43055,2.6010602898560645e-15,7.212740183770866e-12,0.03225806451612903,0.0
25,0.01,0.7893,9,666,7.868329,4.9514933,3.59408972671821e-15,1.4949616218284395e-12,0.1,0.003045685279187817
25,0.01,0.7893,4,10957,7.67023,2.742342,1.7168801349413407e-14,9.521817228384676e-11,0.10697674418604651,0.017366946778711485
25,0.01,0.7893,6,11206,7.657895,2.5252435,1.890054851388165e-14,3.930841577174536e-11,0.19333333333333333,0.04594594594594595
25,0.01,0.7893,4,14069,7.583172,6.0718765,3.372072410670685e-14,1.4026135192184714e-10,0.037209302325581395,0.0005602240896358543
25,0.01,0.7893,1,9129,7.580707,1.8721416,3.436771953486529e-14,2.8590505881054433e-10,0.16470588235294117,0.05060240963855422
25,0.01,0.7893,3,8770,7.5634246,4.701152,3.925936063202362e-14,1.1889433292202107e-10,0.044444444444444446,0.0017341040462427746
25,0.01,0.7893,5,15209,7.535904,4.3108764,4.8496437404802654e-14,8.965374728234516e-11,0.05325443786982249,0.002730748225013654
25,0.01,0.7893,3,5221,7.5318623,6.019934,5.002165707742201e-14,1.1889433292202107e-10,0.037037037037037035,0.0005780346820809249
25,0.01,0.7893,3,359,7.5318623,6.019934,5.002165707742201e-14,1.1889433292202107e-10,0.037037037037037035,0.0005780346820809249
25,0.01,0.7893,2,2623,7.4986663,5.984945,6.447038387051012e-14,1.0726582468375472e-09,0.037267080745341616,0.0005959475566150178
25,0.01,0.7893,3,11095,7.4315014,3.9865465,1.0737203361140894e-13,2.2330698690332771e-10,0.05185185185185185,0.003468208092485549
25,0.01,0.7893,2,8325,7.392954,3.3145003,1.4360235658732794e-13,1.194628004449981e-09,0.062111801242236024,0.006555423122765197
25,0.01,0.7893,5,3166,7.367511,24.304453,1.7384362401325301e-13,2.8924102163325036e-10,0.029585798816568046,0.0
25,0.01,0.7893,10,15817,7.353681,5.588226,1.9282179054999253e-13,8.22607423377122e-11,0.07142857142857142,0.0015212981744421906
25,0.01,0.7893,10,11321,7.353681,5.588226,1.9282179054999253e-13,8.22607423377122e-11,0.07142857142857142,0.0015212981744421906
25,0.01,0.7893,10,14406,7.353681,5.588226,1.9282179054999253e-13,8.22607423377122e-11,0.07142857142857142,0.0015212981744421906
25,0.01,0.7893,1,1945,7.276435,1.6219505,3.42757496206257e-13,1.900933073959901e-09,0.19117647058823528,0.06867469879518072
25,0.01,0.7893,2,8439,7.235156,24.375154,4.649942323538534e-13,2.578858012634471e-09,0.031055900621118012,0.0
25,0.01,0.7893,1,10391,7.2022986,4.529701,5.920579544664841e-13,2.4626650616033408e-09,0.041176470588235294,0.0018072289156626507
25,0.01,0.7893,3,2877,7.172126,24.306612,7.384208758080485e-13,1.3650940590771456e-09,0.02962962962962963,0.0
25,0.01,0.7893,2,4894,7.1487656,2.8106494,8.756175504349198e-13,3.6421312010340486e-09,0.08385093167701864,0.014898688915375448
25,0.01,0.7893,3,11670,7.0986648,5.019647,1.2596798459507458e-12,2.095855327692851e-09,0.037037037037037035,0.0011560693641618498
25,0.01,0.7893,9,10721,7.089522,5.4848256,1.345763345407428e-12,5.331145366878282e-10,0.06666666666666667,0.0015228426395939086
25,0.01,0.7893,9,16582,7.089522,5.4848256,1.345763345407428e-12,5.331145366878282e-10,0.06666666666666667,0.0015228426395939086
25,0.01,0.7893,6,4916,7.08644,4.4541597,1.3760563331455023e-12,2.289482527087487e-09,0.04666666666666667,0.002162162162162162
25,0.01,0.7893,6,8581,7.08644,4.4541597,1.3760563331455023e-12,2.289482527087487e-09,0.04666666666666667,0.002162162162162162
25,0.01,0.7893,4,4636,7.0667434,24.219332,1.5861178422974315e-12,5.277965732028934e-09,0.027906976744186046,0.0
