n_neighbors,ratio,resolution,leiden_cluster,gene,score,log2fc,pval,pval_adj,pct_nz_group,pct_nz_reference
25,0.01,0.6384,3,2446,24.361938,9.480439,4.332503441320868e-131,7.20841922566966e-127,0.325,0.0005102040816326531
25,0.01,0.6384,3,9275,15.962911,5.202222,2.3166923388026964e-57,1.927256356649963e-53,0.35,0.011224489795918367
25,0.01,0.6384,2,2394,13.423872,4.29484,4.3820558361289664e-41,7.290864500151374e-37,0.1625615763546798,0.008903728436282694
25,0.01,0.6384,3,12137,12.87714,5.8245606,6.053750270853984e-38,3.357409900215619e-34,0.175,0.0035714285714285713
25,0.01,0.6384,3,3851,12.130425,25.669283,7.286989166603052e-34,3.0310231438485393e-30,0.075,0.0
25,0.01,0.6384,3,13760,11.499224,5.9985676,1.3310749885427243e-30,4.4292851318747695e-27,0.125,0.0020408163265306124
25,0.01,0.6384,2,863,11.10975,3.3885942,1.1247375413483346e-28,9.356691606476795e-25,0.16748768472906403,0.018920422927100722
25,0.01,0.6384,1,4685,10.315611,4.0968122,5.9899247894951565e-25,9.96603686476204e-21,0.09541984732824428,0.005753739930955121
25,0.01,0.6384,2,8578,10.230314,4.0258303,1.4504841718854075e-24,7.529492513711212e-21,0.10837438423645321,0.0077907623817473565
25,0.01,0.6384,2,15236,10.208838,3.593318,1.810191733071574e-24,7.529492513711212e-21,0.12315270935960591,0.011129660545353366
25,0.01,0.6384,3,10319,9.901972,25.071732,4.081465826697059e-23,9.701061203512238e-20,0.05,0.0
25,0.01,0.6384,3,6164,9.901972,25.071732,4.081465826697059e-23,9.701061203512238e-20,0.05,0.0
25,0.01,0.6384,1,6010,9.716801,4.010022,2.5568803922844024e-22,2.1270687983413942e-18,0.08778625954198473,0.005753739930955121
25,0.01,0.6384,3,3373,9.272992,6.2368226,1.809952124016811e-20,3.7642479299239626e-17,0.075,0.0010204081632653062
25,0.01,0.6384,2,601,8.757656,2.9116316,1.99352571750343e-18,6.633656177564414e-15,0.1330049261083744,0.02003338898163606
25,0.01,0.6384,1,2364,8.536404,3.9318993,1.384637594948802e-17,7.679200101586055e-14,0.06870229007633588,0.004602991944764097
25,0.01,0.6384,1,12252,8.474368,5.454532,2.363594012395369e-17,9.831369294558537e-14,0.04961832061068702,0.0011507479861910242
25,0.01,0.6384,1,9006,8.214485,3.5515306,2.1307565491377967e-16,7.090305492910933e-13,0.07251908396946564,0.006329113924050633
25,0.01,0.6384,1,518,8.163081,24.676218,3.2658567927779275e-16,9.056220886373192e-13,0.03816793893129771,0.0
25,0.01,0.6384,2,14956,8.133418,4.7077346,4.1735096520389184e-16,1.157314226510392e-12,0.054187192118226604,0.0022259321090706734
25,0.01,0.6384,3,6450,8.004431,6.639523,1.200209362519685e-15,1.8153712157820471e-12,0.05,0.0005102040816326531
25,0.01,0.6384,3,16358,8.004431,6.639523,1.200209362519685e-15,1.8153712157820471e-12,0.05,0.0005102040816326531
25,0.01,0.6384,3,9996,8.004431,6.639523,1.200209362519685e-15,1.8153712157820471e-12,0.05,0.0005102040816326531
25,0.01,0.6384,1,1032,7.993854,2.6694036,1.3078471912524536e-15,3.108565938294046e-12,0.11068702290076336,0.0189873417721519
25,0.01,0.6384,1,8944,7.6208115,3.1281652,2.5208571250976077e-14,5.242752605921749e-11,0.07633587786259542,0.009205983889528193
25,0.01,0.6384,2,10133,7.5789824,2.628225,3.482764623362694e-14,8.278033971929786e-11,0.11822660098522167,0.021146355036171398
25,0.01,0.6384,1,2106,7.483633,1.8466527,7.229554784331879e-14,1.3365036944634867e-10,0.22137404580152673,0.07882623705408516
25,0.01,0.6384,2,1492,7.420532,3.8285494,1.1665048796458378e-13,2.426038523443431e-10,0.059113300492610835,0.004451864218141347
25,0.01,0.6384,2,342,7.297019,24.303017,2.942137099598013e-13,5.439030784790193e-10,0.029556650246305417,0.0
25,0.01,0.6384,1,486,7.223716,5.9166327,5.058585150112165e-13,8.416473972756621e-10,0.03435114503816794,0.0005753739930955121
25,0.01,0.6384,3,4646,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,15731,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,10277,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,1102,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,14370,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,15272,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,6705,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,1616,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,11345,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,6618,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,11505,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,10950,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,7031,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,1441,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,2413,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,15910,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,11458,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,10758,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,7483,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,6416,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,6376,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,9667,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,10824,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,1961,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,16196,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,12348,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,1588,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,15879,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,9714,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,2184,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,1990,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,4929,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,3959,7.0,24.059177,2.5596250877709562e-12,9.678873229621175e-10,0.025,0.0
25,0.01,0.6384,3,5627,6.862294,5.63927,6.776337735617478e-12,2.398823558408587e-09,0.05,0.0010204081632653062
25,0.01,0.6384,3,14776,6.862294,5.63927,6.776337735617478e-12,2.398823558408587e-09,0.05,0.0010204081632653062
25,0.01,0.6384,3,989,6.862294,5.63927,6.776337735617478e-12,2.398823558408587e-09,0.05,0.0010204081632653062
25,0.01,0.6384,1,5421,6.6620793,3.4528067,2.6997994308988225e-11,4.083569357390419e-08,0.04961832061068702,0.004602991944764097
25,0.01,0.6384,1,901,6.31675,23.931591,2.671212591709498e-10,3.7036362584052187e-07,0.022900763358778626,0.0
25,0.01,0.6384,1,14669,6.247901,5.5502324,4.1600582960471254e-10,5.324234609971698e-07,0.026717557251908396,0.0005753739930955121
25,0.01,0.6384,2,15211,6.153932,3.8424678,7.55850976523722e-10,1.2575848547401689e-06,0.03940886699507389,0.0027824151363383415
25,0.01,0.6384,1,13216,6.1217937,2.5964193,9.252788436709401e-10,1.0996278143569358e-06,0.0648854961832061,0.01093210586881473
25,0.01,0.6384,3,1545,6.075409,5.054053,1.2367220613994921e-09,4.2867878453259895e-07,0.05,0.001530612244897959
25,0.01,0.6384,1,6932,6.016371,3.9157722,1.7837069427651484e-09,1.9784877409151024e-06,0.03435114503816794,0.0023014959723820483
25,0.01,0.6384,2,13488,5.955005,23.713114,2.6006358782414612e-09,3.933579976561948e-06,0.019704433497536946,0.0
25,0.01,0.6384,1,11248,5.764932,23.666645,8.169076740989676e-09,8.49481867603664e-06,0.019083969465648856,0.0
25,0.01,0.6384,1,3707,5.7026706,5.3259263,1.1794463382579024e-08,1.1543310691726459e-05,0.022900763358778626,0.0005753739930955121
25,0.01,0.6384,2,7023,5.625699,4.1600065,1.8475816691551626e-08,2.561671984283633e-05,0.029556650246305417,0.001669449081803005
25,0.01,0.6384,1,4533,5.5149035,3.7439318,3.4897142242890956e-08,3.225659181317887e-05,0.030534351145038167,0.0023014959723820483
25,0.01,0.6384,3,10112,5.4890604,4.6387606,4.040774772777875e-08,1.3720491973362916e-05,0.05,0.0020408163265306124
25,0.01,0.6384,1,245,5.2668447,2.608523,1.3878836256749725e-07,0.0001215347777051589,0.04961832061068702,0.00863060989643268
25,0.01,0.6384,2,5537,5.2355094,3.5012705,1.645305528869873e-07,0.00019999126797627255,0.034482758620689655,0.00333889816360601
25,0.01,0.6384,3,11003,5.209471,3.7750957,1.8937979502104855e-07,6.301802059120411e-05,0.075,0.005612244897959183
25,0.01,0.6384,2,6055,5.177192,5.15562,2.2524999525759954e-07,0.00019999126797627255,0.019704433497536946,0.0005564830272676684
25,0.01,0.6384,2,10306,5.1558943,23.295609,2.524231654947544e-07,0.00019999126797627255,0.014778325123152709,0.0
25,0.01,0.6384,2,13685,5.1558943,23.295609,2.524231654947544e-07,0.00019999126797627255,0.014778325123152709,0.0
25,0.01,0.6384,2,8165,5.1558943,23.295609,2.524231654947544e-07,0.00019999126797627255,0.014778325123152709,0.0
25,0.01,0.6384,2,7899,5.1558943,23.295609,2.524231654947544e-07,0.00019999126797627255,0.014778325123152709,0.0
25,0.01,0.6384,2,2621,5.1558943,23.295609,2.524231654947544e-07,0.00019999126797627255,0.014778325123152709,0.0
25,0.01,0.6384,2,14069,5.1558943,23.295609,2.524231654947544e-07,0.00019999126797627255,0.014778325123152709,0.0
25,0.01,0.6384,2,3262,5.1558943,23.295609,2.524231654947544e-07,0.00019999126797627255,0.014778325123152709,0.0
25,0.01,0.6384,1,13667,5.15502,23.342804,2.536036982779272e-07,0.00021097291659740765,0.015267175572519083,0.0
25,0.01,0.6384,1,7108,5.1052523,5.060979,3.3035385653731376e-07,0.000261734641193706,0.019083969465648856,0.0005753739930955121
25,0.01,0.6384,3,8435,5.029081,4.3165774,4.928360131061722e-07,0.00015471331294453761,0.05,0.002551020408163265
25,0.01,0.6384,3,5291,5.029081,4.3165774,4.928360131061722e-07,0.00015471331294453761,0.05,0.002551020408163265
25,0.01,0.6384,3,4724,5.029081,4.3165774,4.928360131061722e-07,0.00015471331294453761,0.05,0.002551020408163265
25,0.01,0.6384,3,795,4.994294,3.580494,5.90512834984441e-07,0.00018194356571242832,0.075,0.006122448979591836
25,0.01,0.6384,3,5184,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,9612,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,5109,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,3151,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,9571,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,14729,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,13416,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,11492,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,2951,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,11559,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,174,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,9634,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,12884,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,8147,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,74,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,10966,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,3399,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,1513,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,3005,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,11622,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,15063,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,4031,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,10318,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,11839,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,6712,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,1112,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,4977,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,4963,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,7776,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,11063,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,6644,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,250,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,6462,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,1839,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,11857,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,1150,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,6791,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,13197,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,4047,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,14940,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,4914,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,13205,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,10712,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,10212,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,16469,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,3,6103,4.8499455,5.626969,1.2349542742965426e-06,0.00020547169215745875,0.025,0.0005102040816326531
25,0.01,0.6384,2,6047,4.589907,4.155344,4.434427148281585e-06,0.0029511999557243606,0.019704433497536946,0.0011129660545353367
25,0.01,0.6384,2,4495,4.589907,4.155344,4.434427148281585e-06,0.0029511999557243606,0.019704433497536946,0.0011129660545353367
25,0.01,0.6384,2,5042,4.589907,4.155344,4.434427148281585e-06,0.0029511999557243606,0.019704433497536946,0.0011129660545353367
25,0.01,0.6384,2,100,4.589907,4.155344,4.434427148281585e-06,0.0029511999557243606,0.019704433497536946,0.0011129660545353367
