n_neighbors,ratio,resolution,leiden_cluster,gene,score,log2fc,pval,pval_adj,pct_nz_group,pct_nz_reference
100,0.01,0.8855,5,5895,15.188918,3.5706282,4.187749787555168e-52,6.967578096534289e-48,0.2863849765258216,0.03077783995523223
100,0.01,0.8855,4,601,14.495197,3.8083339,1.2992779172567689e-47,2.161738598731812e-43,0.2184873949579832,0.018161180476730987
100,0.01,0.8855,4,3094,13.86786,6.0615997,9.919242906317806e-44,8.251818173765783e-40,0.12605042016806722,0.0022701475595913734
100,0.01,0.8855,5,2549,13.191517,2.6345456,9.818905366327655e-40,8.168347374247976e-36,0.37089201877934275,0.07890318970341355
100,0.01,0.8855,4,3561,13.022191,3.528761,9.15068191423112e-39,5.074968189632579e-35,0.20168067226890757,0.020998864926220204
100,0.01,0.8855,2,13937,12.867698,3.5224948,6.841122823214063e-38,1.1382260153263559e-33,0.18493150684931506,0.019320843091334895
100,0.01,0.8855,5,4699,12.525486,3.036346,5.415829361020832e-36,3.003618963622153e-32,0.23943661971830985,0.03301622831561276
100,0.01,0.8855,3,245,12.234073,4.7303176,2.0442538244732363e-34,3.4012295131585705e-30,0.11567164179104478,0.004618937644341801
100,0.01,0.8855,1,2106,11.985829,2.5362508,4.216026796070035e-33,7.014625383301324e-29,0.2514124293785311,0.05407047387606318
100,0.01,0.8855,2,3008,10.475687,4.060137,1.1172323759670493e-25,9.294256135669882e-22,0.09931506849315068,0.006440281030444965
100,0.01,0.8855,2,861,10.099954,3.7817683,5.526829850415704e-24,3.065179835040549e-20,0.09931506849315068,0.007611241217798595
100,0.01,0.8855,3,9003,9.809043,6.7217956,1.0293991610994757e-22,8.563571621186539e-19,0.05970149253731343,0.0005773672055427252
100,0.01,0.8855,3,3929,9.395162,4.121497,5.712989345555269e-21,3.168423891044952e-17,0.07835820895522388,0.004618937644341801
100,0.01,0.8855,3,14143,8.452631,24.7825,2.8481144103629574e-17,1.1846731889904722e-13,0.041044776119402986,0.0
100,0.01,0.8855,5,13397,8.241792,3.643825,1.696501114436761e-16,7.056596385499707e-13,0.07511737089201878,0.006155567991046447
100,0.01,0.8855,4,4136,8.179118,24.662643,2.8592804365700804e-16,1.1893176975913249e-12,0.037815126050420166,0.0
100,0.01,0.8855,5,10727,7.7395244,4.165244,9.978944418481931e-15,3.320593544694048e-11,0.056338028169014086,0.003357582540570789
100,0.01,0.8855,2,1241,7.7105384,2.4229326,1.252880566205005e-14,5.2113567151297175e-11,0.1095890410958904,0.02107728337236534
100,0.01,0.8855,4,4494,7.6635203,5.2305984,1.8090467661550755e-14,6.019784019057629e-11,0.04201680672268908,0.0011350737797956867
100,0.01,0.8855,4,6799,7.3773685,4.567193,1.6144899640884822e-13,4.476980670417361e-10,0.046218487394957986,0.0022701475595913734
100,0.01,0.8855,1,14947,7.3434896,5.103593,2.0809539131750747e-13,1.7311455603703445e-09,0.03954802259887006,0.001215066828675577
