n_neighbors,ratio,resolution,leiden_cluster,gene,score,log2fc,pval,pval_adj,pct_nz_group,pct_nz_reference
25,0.01,0.8834,12,12352,26.701162,7.231976,4.562770458057998e-157,7.591537488116897e-153,0.5454545454545454,0.004575495678698526
25,0.01,0.8834,12,5876,26.579773,8.224178,1.1631845516713032e-155,9.676532285353572e-152,0.45454545454545453,0.0020335536349771225
25,0.01,0.8834,11,8991,26.03721,6.3968196,1.8780289056215492e-149,3.1246644931731336e-145,0.5652173913043478,0.008188331627430911
25,0.01,0.8834,10,9517,17.876005,26.839743,1.8137547506253396e-71,3.01772515409044e-67,0.16363636363636364,0.0
25,0.01,0.8834,11,791,14.588246,26.387705,3.336635318117125e-48,2.775746921141636e-44,0.10869565217391304,0.0
25,0.01,0.8834,10,48,14.584714,26.227077,3.513938788904423e-48,2.923245678489589e-44,0.10909090909090909,0.0
25,0.01,0.8834,7,6643,13.734132,5.249781,6.341133151511532e-43,1.0550377337484887e-38,0.14960629921259844,0.004271222637479978
25,0.01,0.8834,7,9915,13.453616,6.376056,2.9317535102184396e-41,2.43892574515072e-37,0.11811023622047244,0.001601708489054992
25,0.01,0.8834,8,10897,13.322926,3.4737113,1.7030130666543956e-40,2.8334731402995832e-36,0.312,0.0368
25,0.01,0.8834,6,307,13.063345,5.848626,5.33320855452947e-39,8.873392393026132e-35,0.11612903225806452,0.002168021680216802
25,0.01,0.8834,8,15126,12.913009,6.724975,3.801540550613195e-38,3.162501584055117e-34,0.104,0.0010666666666666667
25,0.01,0.8834,10,330,12.114696,4.51255,8.829161505910795e-34,4.8966529711781264e-30,0.21818181818181817,0.010282776349614395
25,0.01,0.8834,11,4014,11.978983,5.1719947,4.5790504502009325e-33,2.539541379681437e-29,0.17391304347826086,0.00511770726714432
25,0.01,0.8834,9,11306,11.9420805,7.430844,7.141383096858215e-33,1.1881833196552698e-28,0.08403361344537816,0.000531632110579479
25,0.01,0.8834,10,4020,11.902401,25.623743,1.1499021597566647e-32,4.783018033507847e-29,0.07272727272727272,0.0
25,0.01,0.8834,5,7865,11.669237,5.9088764,1.8305822821606782e-31,3.0457228010589362e-27,0.09146341463414634,0.0016339869281045752
25,0.01,0.8834,10,11351,11.095431,5.783017,1.320213032943627e-28,4.393140888423213e-25,0.10909090909090909,0.002056555269922879
